user_id,genre,play_count
user_1,Pop,6
user_10,Jazz,10
user_100,Jazz,7
user_11,Jazz,8
user_12,Jazz,9
user_13,Jazz,8
user_14,Hip-Hop,7
user_15,Pop,6
user_16,Hip-Hop,10
user_17,Jazz,8
user_18,Rock,8
user_19,Jazz,5
user_2,Jazz,5
user_20,Classical,4
user_21,Jazz,8
user_22,Jazz,5
user_23,Jazz,5
user_24,Classical,9
user_25,Classical,7
user_26,Pop,9
user_27,Classical,13
user_28,Jazz,3
user_29,Hip-Hop,9
user_3,Hip-Hop,2
user_30,Jazz,8
user_31,Rock,6
user_32,Jazz,10
user_33,Jazz,8
user_34,Pop,10
user_35,Classical,7
user_36,Rock,5
user_37,Hip-Hop,4
user_38,Hip-Hop,7
user_39,Classical,6
user_4,Classical,12
user_40,Rock,12
user_41,Rock,8
user_42,Pop,14
user_43,Pop,9
user_44,Hip-Hop,7
user_45,Rock,6
user_46,Hip-Hop,5
user_47,Classical,7
user_48,Jazz,8
user_49,Hip-Hop,6
user_5,Pop,6
user_50,Classical,6
user_51,Pop,8
user_52,Hip-Hop,8
user_53,Hip-Hop,16
user_54,Hip-Hop,6
user_55,Jazz,3
user_56,Jazz,5
user_57,Pop,7
user_58,Pop,4
user_59,Rock,7
user_6,Classical,8
user_60,Hip-Hop,6
user_61,Rock,5
user_62,Hip-Hop,5
user_63,Rock,5
user_64,Rock,5
user_65,Hip-Hop,4
user_66,Hip-Hop,4
user_67,Classical,15
user_68,Pop,9
user_69,Classical,6
user_7,Hip-Hop,6
user_70,Jazz,9
user_71,Pop,7
user_72,Pop,9
user_73,Pop,8
user_74,Hip-Hop,5
user_75,Classical,3
user_76,Pop,13
user_77,Pop,9
user_78,Hip-Hop,2
user_79,Jazz,2
user_8,Hip-Hop,7
user_80,Hip-Hop,4
user_81,Hip-Hop,6
user_82,Classical,5
user_83,Classical,3
user_84,Hip-Hop,4
user_85,Hip-Hop,8
user_86,Pop,5
user_87,Hip-Hop,3
user_88,Classical,2
user_89,Hip-Hop,7
user_9,Jazz,6
user_90,Pop,5
user_91,Hip-Hop,6
user_92,Jazz,7
user_93,Jazz,5
user_94,Classical,12
user_95,Pop,5
user_96,Jazz,13
user_97,Pop,4
user_98,Classical,4
user_99,Pop,4
