song_id,title,avg_duration_sec,play_count
song_39,Title_song_39,201.38,21
song_12,Title_song_12,200.17,29
song_33,Title_song_33,197.38,29
song_2,Title_song_2,190.72,18
song_41,Title_song_41,187.8,15
song_19,Title_song_19,184.24,17
song_20,Title_song_20,183.8,20
song_23,Title_song_23,182.44,25
song_44,Title_song_44,181.14,29
song_29,Title_song_29,179.55,20
song_48,Title_song_48,178.69,16
song_8,Title_song_8,178.04,27
song_50,Title_song_50,175.54,26
song_47,Title_song_47,175.33,33
song_35,Title_song_35,174.41,22
song_9,Title_song_9,173.4,15
song_31,Title_song_31,173.16,19
song_38,Title_song_38,172.63,27
song_22,Title_song_22,171.76,17
song_4,Title_song_4,166.62,13
song_5,Title_song_5,166.4,15
song_27,Title_song_27,166.24,17
song_6,Title_song_6,165.05,21
song_16,Title_song_16,164.13,16
song_17,Title_song_17,163.43,14
song_7,Title_song_7,162.61,23
song_46,Title_song_46,160.24,17
song_42,Title_song_42,158.41,17
song_14,Title_song_14,158.32,34
song_1,Title_song_1,157.38,29
song_21,Title_song_21,156.62,21
song_10,Title_song_10,156.52,23
song_32,Title_song_32,154.47,17
song_26,Title_song_26,153.47,17
song_40,Title_song_40,153.37,30
song_49,Title_song_49,152.89,19
song_30,Title_song_30,151.8,25
song_45,Title_song_45,151.18,17
song_24,Title_song_24,151.1,20
song_13,Title_song_13,150.33,12
song_43,Title_song_43,149.37,19
song_15,Title_song_15,148.69,13
song_36,Title_song_36,144.91,11
song_25,Title_song_25,144.71,14
song_11,Title_song_11,143.69,13
song_37,Title_song_37,142.82,17
song_3,Title_song_3,132.32,25
song_28,Title_song_28,131.22,18
song_34,Title_song_34,122.5,18
song_18,Title_song_18,104.7,10
